"Callback","File","Line"
"admin:warehouses","C:\Users\1\project\bot\keyboards\admin\admin_warehouses.py","28"
"admin:bank:list","C:\Users\1\project\bot\keyboards\admin\banks.py","10"
"admin:bank:create","C:\Users\1\project\bot\keyboards\admin\banks.py","16"
"admin:panel","C:\Users\1\project\bot\keyboards\admin\banks.py","22"
"admin:panel","C:\Users\1\project\bot\keyboards\admin\operators.py","25"
"admin:warehouses","C:\Users\1\project\bot\keyboards\admin\panel.py","10"
"admin:products","C:\Users\1\project\bot\keyboards\admin\panel.py","14"
"admin:operators","C:\Users\1\project\bot\keyboards\admin\panel.py","20"
"admin:banks","C:\Users\1\project\bot\keyboards\admin\panel.py","24"
"admin:stats","C:\Users\1\project\bot\keyboards\admin\panel.py","30"
"admin:product:create","C:\Users\1\project\bot\keyboards\admin\products.py","23"
"admin:panel","C:\Users\1\project\bot\keyboards\admin\products.py","31"
"admin:warehouses","C:\Users\1\project\bot\keyboards\admin\warehouse_actions.py","30"
"admin:warehouse:create","C:\Users\1\project\bot\keyboards\admin\warehouses.py","11"
"admin:panel","C:\Users\1\project\bot\keyboards\admin\warehouses.py","17"
"bank:sber","C:\Users\1\project\bot\keyboards\client\banks.py","11"
"bank:tinkoff","C:\Users\1\project\bot\keyboards\client\banks.py","15"
"bank:alfa","C:\Users\1\project\bot\keyboards\client\banks.py","21"
"bank:sbp","C:\Users\1\project\bot\keyboards\client\banks.py","25"
"cart:clear","C:\Users\1\project\bot\keyboards\client\cart.py","41"
"profile:orders","C:\Users\1\project\bot\keyboards\client\profile.py","12"
"profile:ref","C:\Users\1\project\bot\keyboards\client\profile.py","16"
"profile:coupon","C:\Users\1\project\bot\keyboards\client\profile.py","22"
"op:orders","C:\Users\1\project\bot\keyboards\operator\operator_order.py","26"
"op:orders","C:\Users\1\project\bot\keyboards\operator\orders.py","21"
"op:pickup:confirm","C:\Users\1\project\bot\keyboards\operator\pickup_confirm.py","10"
"op:pickup:cancel","C:\Users\1\project\bot\keyboards\operator\pickup_confirm.py","14"
"admin:product:toggle","C:\Users\1\project\bot\routers\admin\admin.py","55"
"admin:warehouse:move","C:\Users\1\project\bot\routers\admin\admin.py","75"
"admin:operator:toggle","C:\Users\1\project\bot\routers\admin\admin.py","102"
"admin:banks","C:\Users\1\project\bot\routers\admin\admin.py","114"
"admin:bank:toggle","C:\Users\1\project\bot\routers\admin\admin.py","124"
"admin:orders","C:\Users\1\project\bot\routers\admin\admin.py","136"
"admin:order:force","C:\Users\1\project\bot\routers\admin\admin.py","146"
"admin:payment:approve","C:\Users\1\project\bot\routers\admin\admin.py","161"
"admin:payment:reject","C:\Users\1\project\bot\routers\admin\admin.py","174"
"admin:stats:week","C:\Users\1\project\bot\routers\admin\admin.py","186"
"admin:stats:month","C:\Users\1\project\bot\routers\admin\admin.py","200"
"admin:stats:per_operator","C:\Users\1\project\bot\routers\admin\admin.py","214"
"admin:stats:per_warehouse","C:\Users\1\project\bot\routers\admin\admin.py","226"
"admin:stats:graph","C:\Users\1\project\bot\routers\admin\admin.py","238"
"admin:bank:toggle","C:\Users\1\project\bot\routers\admin\banks.py","20"
"admin:bank:delete","C:\Users\1\project\bot\routers\admin\banks.py","30"
"admin:panel","C:\Users\1\project\bot\routers\admin\menu.py","10"
"admin:operators","C:\Users\1\project\bot\routers\admin\operators.py","11"
"admin:operator:toggle","C:\Users\1\project\bot\routers\admin\operators.py","18"
"admin:products","C:\Users\1\project\bot\routers\admin\products.py","11"
"admin:product:toggle","C:\Users\1\project\bot\routers\admin\products.py","18"
"admin:stats:week","C:\Users\1\project\bot\routers\admin\statistics.py","10"
"admin:stats:month","C:\Users\1\project\bot\routers\admin\statistics.py","24"
"admin:stats:summary","C:\Users\1\project\bot\routers\admin\stats.py","56"
"admin:stats:orders","C:\Users\1\project\bot\routers\admin\stats.py","134"
"admin:stats:operators","C:\Users\1\project\bot\routers\admin\stats.py","221"
"admin:stats:revenue","C:\Users\1\project\bot\routers\admin\stats.py","287"
"admin:move:start","C:\Users\1\project\bot\routers\admin\warehouses_move.py","64"
"admin:move:from:","C:\Users\1\project\bot\routers\admin\warehouses_move.py","124"
"admin:move:to:","C:\Users\1\project\bot\routers\admin\warehouses_move.py","172"
"admin:warehouses","C:\Users\1\project\bot\routers\admin\warehouses.py","13"
"admin:wh:","C:\Users\1\project\bot\routers\admin\warehouses.py","27"
"item:remove:","C:\Users\1\project\bot\routers\client\cart.py","49"
"item:qty:","C:\Users\1\project\bot\routers\client\cart.py","64"
"product:","C:\Users\1\project\bot\routers\client\catalog.py","52"
"product:add:","C:\Users\1\project\bot\routers\client\catalog.py","92"
"delivery_price:","C:\Users\1\project\bot\routers\client\delivery_price.py","20"
"client:qty:","C:\Users\1\project\bot\routers\client\order_item_actions.py","35"
"payment:submit","C:\Users\1\project\bot\routers\client\payment_confirm.py","44"
"payment:cancel","C:\Users\1\project\bot\routers\client\payment_confirm.py","128"
"client:pay:","C:\Users\1\project\bot\routers\client\payment.py","18"
"client:pickup:timer:","C:\Users\1\project\bot\routers\client\pickup_timer.py","17"
"client:qty:","C:\Users\1\project\bot\routers\client\quantity.py","16"
"op:check:accept","C:\Users\1\project\bot\routers\operator\checks.py","32"
"op:check:reject","C:\Users\1\project\bot\routers\operator\checks.py","56"
"op:delivery:sent:","C:\Users\1\project\bot\routers\operator\delivery.py","20"
"op:check:accept:","C:\Users\1\project\bot\routers\operator\orders.py","22"
"op:order:ready:","C:\Users\1\project\bot\routers\operator\orders.py","52"
"op:order:sent:","C:\Users\1\project\bot\routers\operator\orders.py","81"
"op:ready:","C:\Users\1\project\bot\routers\operator\pickup.py","17"
"client:pay:","C:\Users\1\project\bot\routers\payment.py","17"
