"Problem","Dao","Method","File","Line"
"Method missing in DAO","OrdersDAO","get_active","C:\Users\1\project\bot\routers\payment.py","27"
"Method missing in DAO","OrdersDAO","get_active","C:\Users\1\project\bot\routers\payment.py","44"
"Method missing in DAO","ProductsDAO","list_all","C:\Users\1\project\bot\routers\admin\warehouses_move.py","331"
"Method missing in DAO","OperatorShiftDAO","get_active_shift","C:\Users\1\project\bot\routers\client\checkout.py","62"
"Method missing in DAO","OrdersDAO","get_active","C:\Users\1\project\bot\routers\client\order_item_actions.py","53"
"DAO class not found","OrderItemsDAO","get_or_create","C:\Users\1\project\bot\routers\client\order_item_actions.py","65"
"Method missing in DAO","OrdersDAO","get_active","C:\Users\1\project\bot\routers\client\payment_confirm.py","95"
"Method missing in DAO","OrdersDAO","get_active","C:\Users\1\project\bot\routers\client\payment_confirm.py","146"
"Method missing in DAO","OrdersDAO","get_active","C:\Users\1\project\bot\routers\client\pickup.py","73"
"Method missing in DAO","OrdersDAO","mark_paid","C:\Users\1\project\bot\routers\operator\checks.py","44"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\routers\operator\delivery.py","43"
"Method missing in DAO","PaymentDAO","approve_by_order","C:\Users\1\project\bot\routers\operator\orders.py","36"
"Method missing in DAO","OrdersDAO","mark_paid","C:\Users\1\project\bot\routers\operator\orders.py","37"
"Method missing in DAO","OrdersDAO","mark_ready","C:\Users\1\project\bot\routers\operator\orders.py","66"
"Method missing in DAO","OrdersDAO","mark_sent","C:\Users\1\project\bot\routers\operator\orders.py","95"
"Method missing in DAO","OrdersDAO","set_operator_pickup_data","C:\Users\1\project\bot\routers\operator\pickup.py","49"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\auto_done.py","21"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","26"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","50"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","74"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","95"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","116"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","137"
"Method missing in DAO","OrdersDAO","get","C:\Users\1\project\bot\services\order_service.py","155"
"Method missing in DAO","OrdersDAO","mark_assembling","C:\Users\1\project\bot\services\order_workflow.py","12"
